rank,Unnamed: 0,restaurant,Price,Rating,Dishes,review-1,review-1.1,review-2,review-2.1,review-3,review-3.1,review-4,review-4.1,review-5,reviews-5,review_count,review-1_sentiment,review-2_sentiment,review-3_sentiment,review-4_sentiment,review-5_sentiment,overall_sentiment,rating_norm,sent_norm,volume_boost,rec_score,Dishes_tokens,Dishes_tokens_str,Cuisines_tokens,Dishes_specific_tokens,Cuisines_tokens_str,Dishes_specific_tokens_str
1,1,Ishaara,1400,4.5,"Biryani, North Indian, Kebab, Mughlai, Desserts

₹1,400 for two",Deva was very courteous and friendly. The ambience and food were awesome.,1.0,Deva provided excellent service,5.0,Great service by Pravin Suryawanshi,4.0,Pravin Suryawanshi Delicious Food and great ambience,3.0,Sagar Jadhav and Pravin suryawanshi served as very well. overall liked the service of restaurant.,2.0,4,0.999870181,0.999767363,0.999556839,0.999878526,0.999695301,0.999753642,0.9,0.999876821,0.8,0.909956887,"['biryani', 'north indian', 'kebab', 'mughlai']",biryani; north indian; kebab; mughlai,"['biryani', 'north indian', 'mughlai']",['kebab'],biryani; north indian; mughlai,kebab
2,3,Darshan,950,4.5,"Continental, North Indian, Chinese, Mexican, Fast Food, Desserts, Juices, Beverages

₹950 for two",Shyam - Good Service,1.0,"Great service from Shyam !!
Will recommoned this place",5.0,Shyam service is good,4.0,Food was good and the service by Shyam bhaiya was superb.,3.0,Good service by shyam,2.0,4,0.999828458,0.999477684,0.999809086,0.999859095,0.999764502,0.999747765,0.9,0.999873883,0.8,0.909955859,"['continental', 'north indian', 'chinese', 'mexican', 'fast food', 'desserts', 'juices']",continental; north indian; chinese; mexican; fast food; desserts; juices,"['continental', 'north indian', 'chinese', 'fast food', 'desserts']","['mexican', 'juices']",continental; north indian; chinese; fast food; desserts,mexican; juices
3,22,Tettoricca,1200,4.4,"North Indian, Continental

₹1,200 for two",Nice evening outing here. Rustom the waiter was really good at service. Enjoyed the night,1.0,food is tasty and service also good,5.0,"Good food with good service. Well spoken staff with good recommendations.
Awesome vibe for a cute place.",3.0,"Service was fantastic, Thanks to Sona for the food suggestions.
The food was perfect. Must visit for friends and family.",2.0,,,4,0.999839664,0.999872804,0.999874353,0.999876976,,0.999865949,0.88,0.999932975,0.8,0.901976541,['north indian'],north indian,['north indian'],[],north indian,
4,4,Poise,1200,4.4,"Asian, Chinese

₹1,200 for two",Food and drinks were too good....Yash had served at our table...he was very courteous,1.0,looking for an ultimate party spot . This place has everythings you need a vibrant dance floor its a kind of place wherethe party never stops . Let us put you on to poise . An impressive bar menu with a wide range of moctails and cocktails refreshing energetic just as the way you want. From startees to mains every disg us packed with craving indian flavous . They delivers on taste rvery singe tine. End your meal on a sweet note with there irresistible desert options. Also there romantic outdoor searings sere the perfect mood. Poise in hinjewadi has you covered for every celebration,5.0,I really loved this place. It has great ambience and great vibe. Best place to enjoy the party,4.0,"Poise impressed me with its creative cocktails and well-balanced mocktails were my favorites. The food was fresh, flavorful, and beautifully presented. A great spot if you enjoy good food with a touch of elegance.",3.0,"Poise in Hinjawadi, Pune, offers a lively ambiance, attentive service, and flavorful dishes, making it a great spot for dining and socializing.",2.0,4,0.999068916,0.9997105,0.999864221,0.999890208,0.999857187,0.999678206,0.88,0.999839103,0.8,0.901943686,['asian'],asian,['asian'],[],asian,
5,27,PizzaExpress,1400,4.3,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe

₹1,400 for two",Very good food and staff,5.0,Wonderful service. Aarti hosted very well.,4.0,The food was great.,3.0,Amazing food love the service,2.0,,,4,0.999868155,0.999875069,0.999872804,0.999878645,,0.999873668,0.86,0.999936834,0.8,0.893977892,"['pizza', 'italian', 'salad', 'bakery', 'beverages', 'coffee', 'pasta']",pizza; italian; salad; bakery; beverages; coffee; pasta,"['pizza', 'italian', 'beverages', 'coffee']","['salad', 'bakery', 'pasta']",pizza; italian; beverages; coffee,salad; bakery; pasta
6,28,Apache High Street,1300,4.3,"Finger Food, Continental, Salad

₹1,300 for two",The place has an amazing vibe and great food!!!! Vimal Singh was really cooperative and great service!!!!,5.0,Good staff n great service,4.0,"the service was great, everyone is very fridenly and fun place. Vimal singh was our table assistance and he was very friendly.",3.0,Great service and ambience,2.0,,,4,0.999884248,0.999812067,0.999841332,0.99986279,,0.999850109,0.86,0.999925055,0.8,0.893973769,"['finger food', 'continental']",finger food; continental,['continental'],['finger food'],continental,finger food
7,26,Makaira Kitchen & Bar,1500,4.3,"Chinese, Kebab, Italian, Continental, Biryani, Maharashtrian, North Indian

₹1,500 for two","Awesome Place, tasty food and good offers
we ordered Paneer tikka and Son of dragon, taste is amazing",1.0,Awesome food and music. One of the finest place to visit for fine and dine ♥️,5.0,The service and the food both were great. Also the mocktails are really good. Mr. Sanjit was such a sweet person who served us with his service ☺️,4.0,"Overall a nice experience I went on a friday night with family so the order arrived late but it was delicious. I would recommend visiting once . Ambience is also good

The only thing which i personally didn't like was the song level which was too high other than everything was good",2.0,,,4,0.999880552,0.999886394,0.9998492,0.997835696,,0.99936296,0.86,0.99968148,0.8,0.893888518,"['chinese', 'kebab', 'italian', 'continental', 'biryani', 'maharashtrian']",chinese; kebab; italian; continental; biryani; maharashtrian,"['chinese', 'italian', 'continental', 'biryani', 'maharashtrian']",['kebab'],chinese; italian; continental; biryani; maharashtrian,kebab
8,7,Qala Cafe & Co - Works,1000,4.3,"Cafe, Coffee, Italian, Continental, Pizza, Fast Food, Salad, Beverages

₹1,000 for two","Simply awesome! We went there for our 4th Anniversary and it is the perfect place for every age group, especially for millennials. Talking about food, we ordered Quesdillas and Pesto Penne Pasta. Super tasty quality food and every food request was taken into consideration. We ordered Mocha from the beverages section which was best in class. Highly recommended for your next dining experience.",1.0,"great ambience and quality food ,staff is welcoming basically a great place to hangout",5.0,The place was nice and cozy. The food was great - the Pesto omelet and pancakes were very tasty. The coffee was perfect. I had a great time here. I would definitely go back again. Highly recommend!,4.0,I ordered the Nutella banana crepe but it was below average. The Nutella was just on the bottom most layer of crepe. The ambience and vibe is really good but the food can be improved.,3.0,They charge 50 rupees extra to sit and work also the food is pathetic wont recommend at all.,2.0,4,0.999777496,0.999850988,0.999883413,0.996177793,0.929592788,0.985056496,0.86,0.992528248,0.8,0.891384887,"['cafe', 'coffee', 'italian', 'continental', 'pizza', 'fast food', 'salad']",cafe; coffee; italian; continental; pizza; fast food; salad,"['cafe', 'coffee', 'italian', 'continental', 'pizza', 'fast food']",['salad'],cafe; coffee; italian; continental; pizza; fast food,salad
9,34,PizzaExpress,1400,4.2,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe

₹1,400 for two",Very good food and staff,5.0,Wonderful service. Aarti hosted very well.,4.0,The food was great.,3.0,Amazing food love the service,2.0,,,4,0.999868155,0.999875069,0.999872804,0.999878645,,0.999873668,0.84,0.999936834,0.8,0.885977892,"['pizza', 'italian', 'salad', 'bakery', 'beverages', 'coffee', 'pasta']",pizza; italian; salad; bakery; beverages; coffee; pasta,"['pizza', 'italian', 'beverages', 'coffee']","['salad', 'bakery', 'pasta']",pizza; italian; beverages; coffee,salad; bakery; pasta
10,31,C - Dock,1500,4.2,"Bar Food

₹1,500 for two","C Dock is an excellent place with a great ambience. The prices are reasonable and the atmosphere is amazing. The dance floor was buzzing, and the DJ kept the energy high with a great mix of music. The staff were friendly and attentive, and the overall atmosphere was lively and inviting. Would definitely visit again🍻",5.0,"The vibes were just perfect, relaxed yet lively, with a stunning poolside view that made the dining experience even better. The food was delicious, full of flavor and beautifully presented.
The service was quick, polite, and attentive. Whether you’re planning a date night, family dinner, or a get-together with friends, this spot has it all, great ambience, tasty food, and that dreamy pool vibe. Will definitely be back soon!",4.0,"If you're looking for the perfect blend of delicious food and serene ambience, this place should be at the top of your list. I've visited multiple times, and every single time, they’ve nailed it — from the flavors on the plate to the calming vibe by the pool.
A special mention to Pankaj, who always takes incredible care of guests. He’s warm, attentive, and makes sure your dining experience is smooth from start to finish. Truly a great host and a big part of why I keep coming back! Highly recommend C-Dock.",3.0,good service and descent food,2.0,,,4,0.999876499,0.999885559,0.999866366,0.99983561,,0.999866009,0.84,0.999933004,0.8,0.885976552,[],,[],[],,
11,36,Shivlingam- The Sunny's World,1800,4.2,"North Indian, Continental, Italian, Chinese, Salad, Fast Food, Ice Cream

₹1,800 for two",Excellent Preeti Nikita shalu very good service,1.0,it's was excellent and it was so delicious food.,5.0,"Excellent Service, Good Food",4.0,Food is excellent,3.0,,,4,0.999830246,0.999887109,0.999867678,0.999873877,,0.999864727,0.84,0.999932364,0.8,0.885976327,"['north indian', 'continental', 'italian', 'chinese', 'salad', 'fast food']",north indian; continental; italian; chinese; salad; fast food,"['north indian', 'continental', 'italian', 'chinese', 'fast food']",['salad'],north indian; continental; italian; chinese; fast food,salad
12,30,Agent Jack's,1800,4.2,"Bar Food, North Indian, Pasta, Continental, Thai, Oriental, Chinese, Pizza

₹1,800 for two",Service was real great people were polite,1.0,I like food and ambiance I specially like agent jack maze platter,5.0,Ambience and service is good,4.0,good food and nice vibe...,3.0,,,4,0.999699116,0.999747336,0.999865294,0.999876618,,0.999797091,0.84,0.999898545,0.8,0.885964491,"['bar food', 'north indian', 'pasta', 'continental', 'thai', 'oriental', 'chinese']",bar food; north indian; pasta; continental; thai; oriental; chinese,"['bar food', 'north indian', 'continental', 'oriental', 'chinese']","['pasta', 'thai']",bar food; north indian; continental; oriental; chinese,pasta; thai
